Impact,vendor,CVE_Numbers,Vulnerabilities,field_items,Legal_Notice,summary,Equipment,Affected_Products,published_date,id
"All versions of the PCS-9611 relay, a control and monitoring unit, are affected.",Remotely exploitable/low skill level to exploit. Public exploits are available.,CVE-2018-5447, PCS-9611,CVSS v3 9.8,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Nari PCS-9611, Nari, Improper Input Validation,"January 25, 2018 | Last revised: January 26, 2018",ICSA-18-025-01
Siemens reports that the vulnerability affects the following LOGO! Soft Comfort engineering software products:,Remotely exploitable.,CVE-2017-12740, LOGO! Soft Comfort,CVSS v3 5.9,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Siemens LOGO! Soft Comfort, Siemens, Download of Code without Integrity Check,"December 19, 2017",ICSA-17-353-04
"All versions of LeviStudio HMI, an HMI, are affected.",Remotely exploitable/low skill level to exploit.,CVE-2017-16717, LeviStudio HMI                                       ,CVSS v3 7.3,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.","WECON Technology Co., Ltd. LeviStudio HMI"," WECON Technology Co., Ltd. (WECON)", Heap-based Buffer Overflow,"December 19, 2017",ICSA-17-353-05
"The following models running firmware versions prior to 1.99, 2.20, or 2.40 of FL COMSERVER, FL COM SERVER, and PSI-MODEM/ETH, industrial networking equipment, are affected:",Remotely exploitable/low skill level to exploit.,CVE-2017-16723," FL COMSERVER, FL COM SERVER, and PSI-MODEM/ETH",CVSS v3 8.2,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.","PHOENIX CONTACT FL COMSERVER, FL COM SERVER, and PSI-MODEM/ETH", PHOENIX CONTACT, Cross-site Scripting,"December 07, 2017",ICSA-17-341-03
The following versions of Xiongmai Technology IP cameras and DVRs are affected:,Remotely exploitable/low skill level to exploit.,CVE-2017-16725, IP Cameras and DVRs,CVSS v3 9.8,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Xiongmai Technology IP Cameras and DVRs, Xiongmai Technology, Stack-based Buffer Overflow,"December 07, 2017",ICSA-17-341-01
"This updated advisory is a follow-up to the updated advisory titled ICSA-17-339-01B Siemens Industrial Products that was published January 23, 2018, on the NCCIC/ICS-CERT web site.",Remotely exploitable/low skill level to exploit.,CVE-2017-12741, Industrial products,CVSS v3 7.5,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Siemens Industrial Products (Update C), Siemens, Improper Input Validation,"December 05, 2017 | Last revised: January 25, 2018",ICSA-17-339-01C
Siemens reports that the vulnerabilities affect the following SWT 3000 Teleprotection system products:,Remotely exploitable/low skill level to exploit.,"CVE-2016-4784,CVE-2016-4785,CVE-2016-7112,CVE-2016-7113,CVE-2016-7114", SWT3000,CVSS v3 5.3,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Siemens SWT3000, Siemens," Improper Authentication, Authentication Bypass, Improper Input Validation.","November 30, 2017",ICSA-17-334-01
"The following versions of FactoryTalk Alarms and Events, a component of the Factory Talk Services Platform, are affected:",Remotely exploitable/low skill level to exploit.,CVE-2017-14022, FactoryTalk Alarms and Events,CVSS v3 7.5,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Rockwell Automation FactoryTalk Alarms and Events, Rockwell Automation, Improper Input Validation,"December 07, 2017",ICSA-17-341-02 
PEPPERL+FUCHS/ecom instruments reports that these vulnerabilities affect all versions of the following WLAN capable devices using the WPA2 Protocol:, Low skill level is needed to exploit. Public exploits are available.,"CVE-2017-13077,CVE-2017-13078,CVE-2017-13079,CVE-2017-13080,CVE-2017-13081,CVE-2017-13082,CVE-2017-13086,CVE-2017-13087,CVE-2017-13088", WLAN capable devices using the WPA2 Protocol,CVSS v3 8.1,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",PEPPERL+FUCHS/ecom instruments WLAN Capable Devices using the WPA2 Protocol, PEPPERL+FUCHS/ecom instruments, Reusing a Nonce,"December 19, 2017",ICSA-17-353-02
"The following version of IntegraXor, a web SCADA/HMI solution, is affected:",Remotely exploitable/low skill level to exploit.,"CVE-2017-16733,CVE-2017-16735", IntegraXor,CVSS v3 5.3,"All information products included in ,http://ics-cert.us-cert.gov, are provided ""as is"" for informational purposes only. The Department of Homeland Security (DHS) does not provide any warranties of any kind regarding any information contained within. DHS does not endorse any commercial product or service, referenced in this product or otherwise. Further dissemination of this product is governed by the Traffic Light Protocol (TLP) marking in the header. For more information about TLP, see ,.",Ecava IntegraXor, Ecava, SQL Injection,"December 19, 2017",ICSA-17-353-03
