Date,CVSS_Severity,id,summary
"January 24, 2018; 10:29:00 PM -05:00","
                            (not available)
                        ",CVE-2018-5445,A Path Traversal issue was discovered in Advantech WebAccess/SCADA versions prior to V8.2_20170817. An attacker has read access to files within the directory structure of the target device.
"January 12, 2018; 03:29:00 PM -05:00","
                            (not available)
                        ",CVE-2017-14030,An issue was discovered in Moxa MXview v2.8 and prior. The unquoted service path escalation vulnerability could allow an authorized user with file access to escalate privileges by inserting arbitrary code into the unquoted service path.
"December 27, 2017; 12:08:22 PM -05:00","
                            ,V3:, ,8.8 HIGH,
                        ,
                            ,V2:, ,6.8 MEDIUM,
                        ",CVE-2017-17915,"In GraphicsMagick 1.4 snapshot-20171217 Q8, there is a heap-based buffer over-read in ReadMNGImage in coders/png.c, related to accessing one byte before testing whether a limit has been reached."
"December 21, 2017; 12:29:00 PM -05:00","
                            ,V3:, ,7.5 HIGH,
                        ,
                            ,V2:, ,5.0 MEDIUM,
                        ",CVE-2017-6132,"In F5 BIG-IP LTM, AAM, AFM, Analytics, APM, ASM, DNS, GTM, Link Controller, PEM and Websafe software version 13.0.0, 12.0.0 to 12.1.2, 11.6.0 to 11.6.1 and 11.5.0 - 11.5.4, an undisclosed sequence of packets sent to BIG-IP High Availability state mirror listeners (primary and/or secondary IP) may cause TMM to restart."
"December 09, 2017; 01:29:02 AM -05:00","
                            ,V3:, ,8.8 HIGH,
                        ,
                            ,V2:, ,9.3 HIGH,
                        ",CVE-2017-16409,"An issue was discovered in Adobe Acrobat and Reader: 2017.012.20098 and earlier versions, 2017.011.30066 and earlier versions, 2015.006.30355 and earlier versions, and 11.0.22 and earlier versions. This vulnerability occurs as a result of a computation that reads data that is past the end of the target buffer; the computation is part of the Adobe graphics module responsible for displaying textual data. The use of an invalid (out-of-range) pointer offset during access of internal data structure fields causes the vulnerability. A successful attack can lead to sensitive data exposure."
"November 13, 2017; 03:29:00 PM -05:00","
                            ,V3:, ,7.8 HIGH,
                        ,
                            ,V2:, ,9.3 HIGH,
                        ",CVE-2017-14020,"An Uncontrolled Search Path Element issue was discovered in AutomationDirect CLICK Programming Software (Part Number C0-PGMSW) versions 2.10 and prior, C-More Programming Software (Part Number EA9-PGMSW) versions 6.30 and prior, C-More Micro (Part Number EA-PGMSW) versions 4.20.01.0 and prior, GS Drives Configuration Software (Part Number GSOFT) versions 4.0.6 and prior, and SL-SOFT SOLO Temperature Controller Configuration Software (Part Number SL-SOFT) versions 1.1.0.5 and prior. An uncontrolled search path element (DLL Hijacking) vulnerability has been identified. To exploit this vulnerability, an attacker could rename a malicious DLL to meet the criteria of the application, and the application would not verify that the DLL is correct. Once loaded by the application, the DLL could run malicious code at the privilege level of the application."
"October 27, 2017; 10:29:00 AM -04:00","
                            ,V3:, ,5.9 MEDIUM,
                        ,
                            ,V2:, ,4.3 MEDIUM,
                        ",CVE-2017-6159,"F5 BIG-IP LTM, AAM, AFM, Analytics, APM, ASM, DNS, GTM, Link Controller, PEM, Websafe software version 12.0.0 to 12.1.2, 11.6.0 to 11.6.1 are vulnerable to a denial of service attack when the MPTCP option is enabled on a virtual server. Data plane is vulnerable when using the MPTCP option of a TCP profile. There is no control plane exposure. An attacker may be able to disrupt services by causing TMM to restart hence temporarily failing to process traffic."
"October 17, 2017; 06:29:00 PM -04:00","
                            ,V3:, ,8.2 HIGH,
                        ,
                            ,V2:, ,6.4 MEDIUM,
                        ",CVE-2017-9625,An Improper Authentication issue was discovered in Envitech EnviDAS Ultimate Versions prior to v1.0.0.5. The web application lacks proper authentication which could allow an attacker to view information and modify settings or execute code remotely.
"October 12, 2017; 04:29:00 AM -04:00","
                            ,V3:, ,6.5 MEDIUM,
                        ,
                            ,V2:, ,4.3 MEDIUM,
                        ",CVE-2017-15277,"ReadGIFImage in coders/gif.c in ImageMagick 7.0.6-1 and GraphicsMagick 1.3.26 leaves the palette uninitialized when processing a GIF file that has neither a global nor local palette. If the affected product is used as a library loaded into a process that operates on interesting data, this data sometimes can be leaked via the uninitialized palette."
"October 03, 2017; 09:29:02 PM -04:00","
                            ,V3:, ,7.5 HIGH,
                        ,
                            ,V2:, ,5.0 MEDIUM,
                        ",CVE-2017-12820,"Arbitrary memory read from controlled memory pointer in Gemalto's HASP SRM, Sentinel HASP and Sentinel LDK products prior to Sentinel LDK RTE version 7.55 leads to remote denial of service."
"September 18, 2017; 01:29:01 PM -04:00","
                            ,V3:, ,5.9 MEDIUM,
                        ,
                            ,V2:, ,4.3 MEDIUM,
                        ",CVE-2017-6147,"In F5 BIG-IP LTM, AAM, AFM, Analytics, APM, ASM, DNS, Link Controller, PEM, and WebSafe 12.1.2-HF1 and 13.0.0, an undisclosed type of responses may cause TMM to restart, causing an interruption of service when ""SSL Forward Proxy"" setting is enabled in both the Client and Server SSL profiles assigned to a BIG-IP Virtual Server."
"August 30, 2017; 06:29:00 PM -04:00","
                            ,V3:, ,6.5 MEDIUM,
                        ,
                            ,V2:, ,4.3 MEDIUM,
                        ",CVE-2017-14042,"A memory allocation failure was discovered in the ReadPNMImage function in coders/pnm.c in GraphicsMagick 1.3.26. The vulnerability causes a big memory allocation, which may lead to remote denial of service in the MagickRealloc function in magick/memory.c."
"August 28, 2017; 09:35:12 PM -04:00","
                            ,V3:, ,7.8 HIGH,
                        ,
                            ,V2:, ,9.3 HIGH,
                        ",CVE-2017-10828,Untrusted search path vulnerability in Flets Install Tool all versions distributed through the website till 2017 August 8 allows an attacker to gain privileges via a Trojan horse DLL in an unspecified directory.
"August 22, 2017; 02:29:00 PM -04:00","
                            ,V3:, ,5.3 MEDIUM,
                        ,
                            ,V2:, ,5.0 MEDIUM,
                        ",CVE-2016-2102,HAProxy statistics in openstack-tripleo-image-elements are non-authenticated over the network.
"August 09, 2017; 12:29:00 PM -04:00","
                            ,V3:, ,7.5 HIGH,
                        ,
                            ,V2:, ,6.0 MEDIUM,
                        ",CVE-2015-4165,"The snapshot API in Elasticsearch before 1.6.0 when another application exists on the system that can read Lucene files and execute code from them, is accessible by the attacker, and the Java VM on which Elasticsearch is running can write to a location that the other application can read and execute from, allows remote authenticated users to write to and create arbitrary snapshot metadata files, and potentially execute arbitrary code."
"July 31, 2017; 07:29:00 PM -04:00","
                            ,V3:, ,8.8 HIGH,
                        ,
                            ,V2:, ,6.8 MEDIUM,
                        ",CVE-2017-11648,"Techroutes TR 1803-3G Wireless Cellular Router/Modem 2.4.25 devices do not possess any protection against a CSRF vulnerability, as demonstrated by a goform/BasicSettings request to disable port filtering."
"July 20, 2017; 12:29:00 AM -04:00","
                            ,V3:, ,9.8 CRITICAL,
                        ,
                            ,V2:, ,7.5 HIGH,
                        ",CVE-2017-11471,IDERA Uptime Monitor 7.8 has SQL injection in /gadgets/definitions/uptime.CapacityWhatIfGadget/getmetrics.php via the element parameter.
"July 02, 2017; 09:29:00 PM -04:00","
                            ,V3:, ,5.5 MEDIUM,
                        ,
                            ,V2:, ,4.3 MEDIUM,
                        ",CVE-2017-10799,"When GraphicsMagick 1.3.25 processes a DPX image (with metadata indicating a large width) in coders/dpx.c, a denial of service (OOM) can occur in ReadDPXImage()."
"June 29, 2017; 11:29:00 PM -04:00","
                            ,V3:, ,9.8 CRITICAL,
                        ,
                            ,V2:, ,7.5 HIGH,
                        ",CVE-2017-6022,"A hard-coded password issue was discovered in Becton, Dickinson and Company (BD) PerformA, Version 2.0.14.0 and prior versions, and KLA Journal Service, Version 1.0.51 and prior versions. They use hard-coded passwords to access the BD Kiestra Database, which could be leveraged to compromise the confidentiality of limited PHI/PII information stored in the BD Kiestra Database."
"June 14, 2017; 09:29:02 PM -04:00","
                            ,V3:, ,5.0 MEDIUM,
                        ,
                            ,V2:, ,1.9 LOW,
                        ",CVE-2017-0289,"Graphics in Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8.1, Windows Server 2012 Gold and R2, Windows RT 8.1, Windows 10 Gold, 1511, 1607, 1703, and Windows Server 2016 allows improper disclosure of memory contents, aka ""Windows Graphics Information Disclosure Vulnerability"". This CVE ID is unique from CVE-2017-0286, CVE-2017-0287, CVE-2017-0288, CVE-2017-8531, CVE-2017-8532, and CVE-2017-8533."
"May 22, 2017; 12:29:00 PM -04:00","
                            ,V3:, ,7.8 HIGH,
                        ,
                            ,V2:, ,6.8 MEDIUM,
                        ",CVE-2016-4901,Untrusted search path vulnerability in The installer of e-Tax Software all versions allows remote attackers to gain privileges via a Trojan horse DLL in an unspecified directory.
"May 11, 2017; 06:29:00 AM -04:00","
                            ,V3:, ,6.5 MEDIUM,
                        ,
                            ,V2:, ,6.1 MEDIUM,
                        ",CVE-2017-2681,"A vulnerability has been identified in Development/Evaluation Kit DK Standard Ethernet Controller, Development/Evaluation Kit EK-ERTEC 200 PN IO, Development/Evaluation Kit EK-ERTEC 200P PN IO, IE/AS-i Link PN IO, IE/PB-Link, SCALANCE M-800, S615, SCALANCE W700, SCALANCE X-200, SCALANCE X-200 IRT, SCALANCE X-300/X408, SCALANCE X414, SCALANCE XM400, SCALANCE XR500, SIMATIC WinAC RTX 2010 incl. F, SIMATIC CM 1542-1, SIMATIC CM 1542SP-1, SIMATIC CP 1243-1, SIMATIC CP 1243-1 DNP3, SIMATIC CP 1243-1 IEC, SIMATIC CP 1243-1 IRC, SIMATIC CP 1542SP-1 IRC, SIMATIC CP 1543-1, SIMATIC CP 1543SP-1, SIMATIC CP 1604, SIMATIC CP 1616, SIMATIC CP 343-1 Adv, SIMATIC CP 343-1 Lean, SIMATIC CP 343-1 Std, SIMATIC CP 443-1 Adv, SIMATIC CP 443-1 OPC-UA, SIMATIC CP 443-1 Std, SIMATIC DK-16xx PN IO, SIMATIC ET 200AL, SIMATIC ET 200M, SIMATIC ET 200MP, SIMATIC ET 200S, SIMATIC ET 200SP, SIMATIC ET 200ecoPN, SIMATIC ET 200pro, SIMATIC HMI Comfort Panels, HMI Multi Panels, HMI Mobile Panels, SIMATIC PN/PN Coupler, SIMATIC RF650R, SIMATIC RF680R, SIMATIC RF685R, SIMATIC S7-1200 incl. F, SIMATIC S7-1500 Software Controller incl. F, SIMATIC S7-1500 incl. F, T, and TF, SIMATIC S7-200 SMART, SIMATIC S7-300 incl. F and T, SIMATIC S7-400 PN/DP V6 Incl. F, SIMATIC S7-400 PN/DP V7 Incl. F, SIMATIC S7-400-H V6, SIMATIC S7-410, SIMATIC Teleservice Adapter Standard Modem, IE Basic, IE Advanced, SIMOCODE pro V PROFINET, SIMOTION, SINAMICS DCM w. PN, SINAMICS DCP w. PN, SINAMICS G110M w. PN, SINAMICS G120(C/P/D) w. PN, SINAMICS G130 V4.7 w. PN, SINAMICS G130 V4.8 w. PN, SINAMICS G150 V4.7 w. PN, SINAMICS G150 V4.8 w. PN, SINAMICS S110 w. PN, SINAMICS S120 V4.7 w. PN, SINAMICS S120 V4.8 w. PN, SINAMICS S150 V4.7 w. PN, SINAMICS S150 V4.8 w. PN, SINAMICS V90 w. PN, SINUMERIK 828D V4.5 and prior, SINUMERIK 828D V4.7, SINUMERIK 840D sl V4.5 and prior, SINUMERIK 840D sl V4.7, SIRIUS ACT 3SU1 interface module PROFINET, SIRIUS Motor Starter M200D PROFINET, SIRIUS Soft Starter 3RW44 PN, SITOP PSU8600 PROFINET, SITOP UPS1600 PROFINET, Softnet PROFINET IO for PC-based Windows systems. Specially crafted PROFINET DCP packets sent on a local Ethernet segment (Layer 2) to an affected product could cause a Denial-of-Service condition of that product. Human interaction is required to recover the system. PROFIBUS interfaces are not affected. This vulnerability affects only SIMATIC HMI Multi Panels and HMI Mobile Panels, and S7-300/S7-400 devices."
