CVE_Reference,Description,Last_Update,Original_Advisory,Provided_or_Discovered,Release_Date,Solution,Title
"CVE-2001-0328
CVE-2015-3963
","A vulnerability has been reported in ABB Relion 650 Series and ABB Relion 670 Series, which can be exploited by malicious people to conduct spoofing attacks.

For more information:
SA64988 (#1)

The vulnerability is reported in the following products and versions:
* ABB Relion 650 Series versions 1.3.0.2 and prior.
* ABB Relion 670 Series version 2.0.",,ABB:,,2016-12-08,Update to a fixed version.,ABB Relion 650 / 670 Series TCP Initial Sequence Numbers Vulnerability
"No CVE references.

","Multiple vulnerabilities have been reported in ABB RobotWare, which can be exploited by malicious users to compromise a vulnerable system and by malicious people to bypass certain security restrictions and compromise a vulnerable system.

1) An error in the Robot Communication server can be exploited to cause a buffer overflow.

2) Certain unspecified input is not properly sanitised before being used to execute commands. This can be exploited to inject and execute arbitrary commands.

3) The product does not properly restrict access to the robot controller, which can be exploited to bypass authentication.

4) An error in the FlexPendant can be exploited to cause a buffer overflow.

5) An error in the command endpoint can be exploited to cause a buffer overflow.

Successful exploitation of vulnerabilities #1, #4, and #5 may allow execution of arbitrary code.

The vulnerabilities are reported in versions prior to 5.15.13 and prior to 5.61.07.",,"ABB (ABB-VU-DMRO-124641, ABB-VU-DMRO-124642, ABB-VU-DMRO-124644, ABB-VU-DMRO-124645, ABB-VU-DMRO-128238):","The vendor credits Davide Quarta, Marcello Pogliani, Mario Polino, and Stefano Zanero, Politecnico di Milano.",2016-11-01,Update to version 5.15.13 or 5.61.07.,ABB RobotWare Multiple Vulnerabilities
"No CVE references.

","A vulnerability has been reported in ABB UNITROL 1000 Series Commissioning and Maintenance Tool (CMT) 1000, which can be exploited by malicious people to compromise a user's system.

The vulnerability is caused due to an error in an unspecified ActiveX control, which can be exploited to overwrite arbitrary files via a specially crafted web page.

The vulnerability is reported in versions 4.x, 5.x, and 6.x.",,http://www05.abb.com/global/scot/scot232.nsf/veritydisplay/435753e5f849bd45c1257c780031a3a9/$file/3BHS538288_E10_-_O.pdf,Reported by the vendor.,2014-05-05,Apply updates. Please see the vendor's advisory for details.,ABB UNITROL 1000 Series Commissioning and Maintenance Tool (CMT) 1000 ActiveX Control Vulnerability
"CVE-2014-0160
","ABB has acknowledged two vulnerabilities in ABB Relion 650 Series, which can be exploited by malicious people to disclose potentially sensitive information.

The vulnerabilities are caused due to a bundled vulnerable version of OpenSSL.

For more information:
SA57347

The vulnerabilities are reported in version 1.3.0.",2014-07-10,ABB-VU-PSAC-1MRG016162:,,2014-05-02,Update to version 1.3.0.1.,ABB Relion 650 Series OpenSSL TLS/DTLS Heartbeat Two Information Disclosure Vulnerabilities
"No CVE references.

","A vulnerability has been reported in ABB RobotWare, which can be exploited by malicious people to compromise a user's system.

For more information:
SA55880

The vulnerability is reported in versions prior to 5.15.03 and 5.60.",,ABB:,,2013-11-25,Update to version 5.15.03 or 5.60.,ABB RobotWare CWGraph3D ActiveX Control Remote Code Execution Vulnerability
"No CVE references.

","A vulnerability has been reported in ABB Test Signal Viewer, which can be exploited by malicious people to compromise a user's system.

The vulnerability is caused due to a directory traversal error within the ""ExportStyle"" method of the CWGraph3D ActiveX control and can be exploited to write files to an arbitrary location.

The vulnerability is reported in versions prior to 1.5.",,ABB:,Andrea Micalizzi aka rgod via ZDI.,2013-11-25,Update to version 1.5.,ABB Test Signal Viewer CWGraph3D ActiveX Control Remote Code Execution Vulnerability
"CVE-2013-5022
CVE-2013-5023
","Some vulnerabilities have been reported in ABB DataManager, which can be exploited by malicious people to compromise a user's system.

The vulnerabilities are caused due to some ActiveX controls providing an insecure ""ExportStyle()"" method, which can be exploited to write arbitrary contents to arbitrary files.

Please see the vendor advisory for affected products and versions.",2013-08-13,National Instruments:,Andrea Micalizzi aka rgod via ZDI.,2013-06-19,Apply patch. Please see the vendor advisory for more details.,ABB DataManager National Instruments Multiple ActiveX Controls Insecure Method Vulnerabilities
"CVE-2012-1801
","A vulnerability has been reported in various ABB products, which can be exploited by malicious people to compromise a user's system.

The vulnerability is caused due to an error in an unspecified ActiveX control and can be exploited to cause a stack-based buffer overflow.

Successful exploitation may allow execution of arbitrary code.

The vulnerability is reported to affect all versions of the following products:
* WebWare Server
* WebWare SDK
* ABB Interlink Module
* S4 OPC Server
* QuickTeach
* RobotStudio S4
* RobotStudio Lite",2012-04-11,ABB-VU-DMRO-41532:,Terry McCorkle and Billy Rios,2012-04-05,"As the affected products are nearing the end of their lifecycle, the vendor is not providing fixes. Instead, set the kill-bit for the affected ActiveX control (contact the vendor for more information).",ABB Multiple Products ActiveX Control Buffer Overflow Vulnerability
"CVE-2012-0245
","A vulnerability has been reported in multiple ABB products, which can be exploited by malicious people to compromise a vulnerable system.

The vulnerability is caused due to an error in RobNetScanHost.exe when parsing network packets containing opcode 0xA or 0xE and can be exploited to cause a stack-based buffer overflow via specially crafted packets sent to port 5512.

The vulnerability is reported in the following versions:
* RobotStudio, Robot Communications Runtime, PC SDK, and IRC5 OPC Server version 5.41.01 and prior.
* PickMaster 3 version 3.3 and prior.
* PickMaster 5 version 5.13 and prior.
* WebWare SDK and ABB Interlink Module versions 4.6 through 4.9.
* WebWare Server versions 4.6 through 4.91.",2012-02-29,ABB:,Luigi Auriemma via ZDI.,2012-02-23,Update to a fixed version or apply patch (please see the vendor's advisory for details).,ABB Multiple Products RobNetScanHost.exe Buffer Overflow Vulnerability
"CVE-2008-2474
","A vulnerability has been reported in ABB PCU400, which can potentially be exploited by malicious people to compromise a vulnerable system.

A boundary error in the X87 executable within the handling of IEC 60870-5-101 and IEC 60870-5-104 communication protocols can be exploited to cause a buffer overflow via specially crafted packets send to port 8087/TCP.

Successful exploitation may allow execution of arbitrary code.

The vulnerability is reported in the X87 executable prior to version 3.5.5.",,C4 Security:,Idan Ofrat of C4 Security,2008-09-26,Update the X87 executable to version 3.5.5 or use the x88 or x89 executables.,ABB PCU400 X87 Buffer Overflow Vulnerability
