CVE_Reference,Description,Last_Update,Original_Advisory,Provided_or_Discovered,Release_Date,Solution,Title
"CVE-2017-12741
","A vulnerability has been reported in multiple Siemens products, which can be exploited by malicious people to cause a DoS (Denial of Service).

1) An unspecified error can be exploited to cause a DoS condition via specially crafted packets sent to port 161.

Please see the vendor's advisory for a list of affected products and versions.",2018-01-26,Siemens (SSA-346262):,"1) The vendor credits George Lashenko, CyberX",2017-11-24,Update to a fixed version if available (please see the vendor's advisory for further details).,Siemens Multiple Products Denial of Service Vulnerability
"CVE-2017-13704
CVE-2017-14491
","Multiple vulnerabilities have been reported in Siemens Scalance S Security Modules, which can be exploited by malicious people to cause a DoS (Denial of Service) and compromise a vulnerable system.

For more information:
SA79130 (#1, #2, #6, and #7)

The vulnerabilities are reported in Scalance S615.",2017-11-29,https://www.siemens.com/cert/pool/cert/siemens_security_advisory_ssa-689071.pdf,,2017-11-17,No official solution is currently available.,Siemens Scalance S615 Dnsmasq Multiple Vulnerabilities
"CVE-2017-13077
CVE-2017-13078
CVE-2017-13081
CVE-2017-13082
","Multiple vulnerabilities have been reported in multiple Siemens products, which can be exploited by malicious people to bypass certain security restrictions.

For more information:
SA79479 (#1 through #8)

Please see the vendor's advisory for a list of affected configurations and versions.",2018-01-26,Siemens (SSA-901333):,,2017-11-10,Update to a fixed version if available.,Siemens Multiple Products KRACK Multiple Vulnerabilities
"CVE-2017-12069
","A vulnerability has been reported in multiple Siemens products, which can be exploited by malicious people to bypass certain security restrictions.

1) An unspecified error can be exploited to gain access to otherwise restricted resources via specially crafted packets sent to the OPC Discovery Server.

Please see the vendor's advisory for a list of affected products and versions.",2017-12-01,Siemens (SSA-535640):,"1) The vendor credits Sergey Temnikov, Kaspersky Lab ICS CERT.",2017-08-31,Apply workaround or update or upgrade to a fixed version if available (please see the vendor's advisory for further details).,Siemens Multiple Products Security Bypass Vulnerability
"CVE-2017-5689
","A vulnerability has been reported in Siemens IPC547D, which can be exploited by malicious people to compromise a vulnerable system.

1) An error related to provisioned Intel manageability SKUs can be exploited to execute arbitrary code with system privileges.

Please see the vendor's advisory for a list of affected versions.",2017-07-14,Siemens:,1) Reported by the vendor.,2017-06-28,Apply update (please see the vendor's advisory for details).,Siemens IPC547D Intel Arbitrary Code Execution Vulnerability
"CVE-2017-2680
CVE-2017-2681
","Multiple vulnerabilities have been reported in multiple Siemens products, which can be exploited by malicious people to cause a DoS (Denial of Service).

1) An error when handling PROFINET DCP broadcast packets can be exploited to cause a DoS condition.

2) An error when handling PROFINET DCP packets can be exploited to cause a DoS condition.

Please see the vendor's advisory for a list of affected products and versions per CVE.",2018-01-26,Siemens (SSA-293562):,"1, 2) The vendor credits Duan JinTong, Ma ShaoShuai, and Cheng Lei, NSFOCUS Security Team.",2017-05-09,Update to a fixed version if available (please see the vendor's advisory for further details).,Siemens Multiple Products Multiple Denial of Service Vulnerabilities
"CVE-2017-6865
","A vulnerability has been reported in multiple Siemens products, which can be exploited by malicious people to cause a DoS (Denial of Service).

1) An error when handling PROFINET DCP broadcast packets can be exploited to cause a DoS condition.

Please see the vendor's advisory for a list of affected products and versions.",2018-01-24,Siemens (SSA-275839):,"1) The vendor credits Duan JinTong, Ma ShaoShuai, and Cheng Lei, NSFOCUS Security Team.",2017-05-09,Update to a fixed version if available.,Siemens Multiple Products Denial of Service Vulnerability
"CVE-2017-2684
","A vulnerability has been reported in multiple Siemens SIMATIC products, which can be exploited by malicious people to bypass certain security restrictions.

1) An unspecified error can be exploited to bypass the application-level authentication.

Successful exploitation of the vulnerability requires knowledge of the username.

Please see the vendor's advisory for a list of affected products and versions.",2017-11-30,https://www.siemens.com/cert/pool/cert/siemens_security_advisory_ssa-931064.pdf,1) Reported by the vendor.,2017-02-14,Apply SIMATIC Logon version 1.5 SP 3 Update 2.,Siemens Multiple SIMATIC Products Security Bypass Vulnerability
"CVE-2016-9160
","A vulnerability has been reported in Siemens SIMATIC WinCC, which can be exploited by malicious people to disclose sensitive information.

1) An error related to certain ActiveX component can be exploited to disclose memory contents.

The vulnerability is reported in versions prior to 7.2.",2016-12-14,http://www.siemens.com/cert/pool/cert/siemens_security_advisory_ssa-693129.pdf,"1) The vendor credits Mingzheng Li, Acorn Network Security Lab.",2016-12-13,Update or upgrade to version 7.2.,Siemens SIMATIC WinCC ActiveX Component Information Disclosure Vulnerability
"CVE-2016-9158
","A vulnerability has been reported in Siemens SIMATIC S7-300 and Siemens SIMATIC S7-400, which can be exploited by malicious people to cause a DoS (Denial of Service).

1) An unspecified error can be exploited to cause the device to go into defect mode via specially crafted packets sent to TCP port 80.

Successful exploitation requires the web server in the project to be enabled.

The vulnerability is reported in the following products and versions:
* Siemens SIMATIC S7-300 PN in all firmware versions.
* Siemens SIMATIC S7-400 PN versions 6 and 7.",2018-01-24,http://www.siemens.com/cert/pool/cert/siemens_security_advisory_ssa-731239.pdf,"1) The vendor credits Zhu WenZhe, Beijing Acorn Network Technology Co., Ltd",2016-12-12,Update to a fixed version.,Siemens SIMATIC S7-300 / S7-400 Web Server Denial of Service Vulnerability
