Title,Bugtraq_ID,Credit,Published,CVE,Vulnerable
Mozilla Firefox and Firefox ESR Multiple Security Vulnerabilities,102783,"Looben Yang, Nils,and xisigr of Tencent's Xuanwu Lab.",Jan 23 2018 12:00AM,"CVE-2018-5091
				
					CVE-2018-5095
				
					CVE-2018-5097
				
					CVE-2018-5098
				
					CVE-2018-5099
				
					CVE-2018-5102
				
					CVE-2018-5103
				
					CVE-2018-5104
				
					CVE-2018-5117
				
					CVE-2018-5089",Mozilla Firefox ESR 52.1.1
Mozilla Firefox MFSA2018-02 Multiple Security Vulnerabilities,102786,"Looben Yang, OSS-Fuzz, Anonymous, Nils, Rob Wu, Jun Kokatsu, Alex Gaynor, Andrea Marchesini, Andreas Pehrson, Ron Warholic, Mario Gomes, Abdulrahman Alqabandi, Inkognito, Jerry Decime, Ronen Zilberman, Paul Theriault, Khalil Zhani, Casper of Tencent's Xuan",Jan 23 2018 12:00AM,"CVE-2018-5092
				
					CVE-2018-5093
				
					CVE-2018-5094
				
					CVE-2018-5100
				
					CVE-2018-5101
				
					CVE-2018-5105
				
					CVE-2018-5106
				
					CVE-2018-5107
				
					CVE-2018-5108
				
					CVE-2018-5109
				
					CVE-2018-5110
				
					CVE-2018-5111
				
					CVE-2018-5112
				
					CVE-2018-5113
				
					CVE-2018-5114
				
					CVE-2018-5115
				
					CVE-2018-5116
				
					CVE-2018-5118
				
					CVE-2018-5119
				
					CVE-2018-5121
				
					CVE-2018-5122
				
					CVE-2018-5090",Mozilla Firefox 53.0.2
Apple macOS APPLE-SA-2018-1-23-2 Multiple Security Vulnerabilities,102785,"Siguza, Resecurity, Inc., Alex Gaynor of Mozilla, Hyung Sup Lee of Minionz, You Chan Lee of Hanyang University",Jan 23 2018 12:00AM,"CVE-2018-4098
				
					CVE-2018-4097
				
					CVE-2018-4091
				
					CVE-2018-4084",Apple macOS 10.13.1
GIMP CVE-2017-17786 Heap Buffer Overflow Vulnerability,102765,Hanno B̦ck,Dec 20 2018 12:00AM,CVE-2017-17786,GIMP GIMP 2.8.22
Artifex MuPDF CVE-2018-6192 Denial of Service Vulnerability,102822,Young_X,Jan 24 2018 12:00AM,CVE-2018-6192,Artifex Mupdf 1.12
Google Chrome Multiple Security Vulnerabilities,102797,"Jun Kokatsu (@shhnjk), Juho Nurminen, Tobias Klein, Rob Wu, The UK's National Cyber Security Centre,  Paul Stone, cloudfuzzer, WenXu Wu of Tencent's Xuanwu Lab, Luan Herrera, Khalil Zhani, 0x09AL, Masato Kinugawa,Jonathan Kew, Antonio Sanso (@asanso), Tann",Jan 24 2018 12:00AM,"CVE-2018-6031
				
					CVE-2018-6032
				
					CVE-2018-6033
				
					CVE-2018-6034
				
					CVE-2018-6035
				
					CVE-2018-6036
				
					CVE-2018-6037
				
					CVE-2018-6038
				
					CVE-2018-6039
				
					CVE-2018-6040
				
					CVE-2018-6041
				
					CVE-2018-6042
				
					CVE-2018-6043
				
					CVE-2018-6045
				
					CVE-2018-6046
				
					CVE-2018-6047
				
					CVE-2018-6048
				
					CVE-2018-6049
				
					CVE-2018-6050
				
					CVE-2018-6051
				
					CVE-2018-6052
				
					CVE-2018-6053
				
					CVE-2018-6054",Google Chrome 46.0.2490
Multiple CPU Hardwares CVE-2017-5753 Information Disclosure Vulnerability,102371,"Jann Horn (Google Project Zero) and Paul Kocher in collaboration with, in alphabetical order, Daniel Genkin (University of Pennsylvania and University of Maryland), Mike Hamburg (Rambus), Moritz Lipp (Graz University of Technology), and Yuval Yarom (Univer",Jan 03 2018 12:00AM,CVE-2017-5753,Xen Xen  0
Artifex MuJS CVE-2018-5759 Denial of Service Vulnerability,102833,Unknown,Jan 24 2018 12:00AM,CVE-2018-5759,Artifex MuJS 1.0.2
Multiple Siemens Products Multiple Denial of Service Vulnerabilities,98369,"Duan JinTong, Ma ShaoShuai, and Cheng Lei from NSFOCUS Security Team.",May 08 2017 12:00AM,"CVE-2017-2680
				
					CVE-2017-2681",Siemens UPS1600 PROFINET  0
Apple iOS/WatchOS/tvOS/macOS Multiple Security Vulnerabilities,102782,"Mingi Cho, MinSik Shin, Seoyoung Kim, Yeongho Lee and Taekyoung Kwon of the Information Security Lab, Yonsei University,Jann Horn of Google Project Zero, an anonymous researcher, Russ Cox of Google, Jann Horn of Google Project Zero, Ret2 Systems Inc. worki",Jan 23 2018 12:00AM,"CVE-2018-4094
				
					CVE-2018-4090
				
					CVE-2018-4092
				
					CVE-2018-4082
				
					CVE-2018-4093
				
					CVE-2018-4085
				
					CVE-2018-4086",Apple watchOS 10.1.1
